qr_or_mac,voltage_v,voltage_mv,category,status,percentage_estimate,pass_fail,rssi,comment,timestamp
E4:30:40:1A:97:AB,2.9,2900,GOOD,GOOD,70.0,True,-64,RSSI -64 | Battery 2.9V,2025-09-17T20:17:09.362012Z
E2:16:6B:37:D0:E4,2.9,2900,GOOD,GOOD,70.0,True,-60,RSSI -60 | Battery 2.9V,2025-09-17T20:17:09.363878Z
FC:75:D9:58:6A:5F,3.0,3000,NEW,GOOD,0,True,-68,RSSI -68 | Battery 3.0V,2025-09-17T20:17:09.366870Z
C1:27:6C:03:7F:59,2.9,2900,GOOD,GOOD,70.0,True,-68,RSSI -68 | Battery 2.9V,2025-09-17T20:17:09.368929Z
E3:F3:A9:0F:AC:4C,2.9,2900,GOOD,GOOD,70.0,True,-69,RSSI -69 | Battery 2.9V,2025-09-17T20:17:09.380652Z
D4:E7:16:17:CB:A7,2.9,2900,GOOD,GOOD,70.0,True,-65,RSSI -65 | Battery 2.9V,2025-09-17T20:17:09.386660Z
FC:5C:E4:29:49:27,2.9,2900,GOOD,GOOD,70.0,True,-58,RSSI -58 | Battery 2.9V,2025-09-17T20:17:09.390607Z
FB:C4:27:D3:32:EA,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:09.396327Z
E5:28:0F:81:AF:8C,3.0,3000,NEW,GOOD,0,True,-79,RSSI -79 | Battery 3.0V,2025-09-17T20:17:09.397351Z
C0:83:2F:02:45:AF,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-17T20:17:09.453689Z
F9:95:AA:A2:61:7C,2.9,2900,GOOD,GOOD,70.0,True,-55,RSSI -55 | Battery 2.9V,2025-09-17T20:17:09.459918Z
E9:CA:69:15:40:0F,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-17T20:17:09.474924Z
DE:A1:F6:2A:8F:0D,2.9,2900,GOOD,GOOD,70.0,True,-56,RSSI -56 | Battery 2.9V,2025-09-17T20:17:09.481978Z
D9:9D:DB:8F:EC:9F,2.9,2900,GOOD,GOOD,70.0,True,-56,RSSI -56 | Battery 2.9V,2025-09-17T20:17:09.484848Z
E7:98:C6:23:EE:08,2.9,2900,GOOD,GOOD,70.0,True,-68,RSSI -68 | Battery 2.9V,2025-09-17T20:17:09.487370Z
DD:F4:79:D6:27:1F,3.0,3000,NEW,GOOD,0,True,-70,RSSI -70 | Battery 3.0V,2025-09-17T20:17:09.494416Z
F8:D1:40:D7:7B:90,2.9,2900,GOOD,GOOD,70.0,True,-73,RSSI -73 | Battery 2.9V,2025-09-17T20:17:09.497379Z
