qr_or_mac,voltage_v,voltage_mv,category,status,percentage_estimate,pass_fail,rssi,comment,timestamp
DE:A8:68:45:6A:20,2.9,2900,GOOD,GOOD,70.0,True,-46,RSSI -46 | Battery 2.9V,2025-09-19T22:22:06.669350Z
C8:F6:48:1F:B9:C2,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:06.724974Z
D8:30:03:A4:68:C6,2.9,2900,GOOD,GOOD,70.0,True,-45,RSSI -45 | Battery 2.9V,2025-09-19T22:22:06.733657Z
CB:10:97:C5:AB:78,3.0,3000,NEW,GOOD,0,True,-50,RSSI -50 | Battery 3.0V,2025-09-19T22:22:06.739726Z
D7:AF:E6:9E:92:72,2.9,2900,GOOD,GOOD,70.0,True,-55,RSSI -55 | Battery 2.9V,2025-09-19T22:22:06.753323Z
E3:3A:B6:4E:B8:C0,2.9,2900,GOOD,GOOD,70.0,True,-43,RSSI -43 | Battery 2.9V,2025-09-19T22:22:06.755342Z
D2:81:38:2C:8A:A2,2.9,2900,GOOD,GOOD,70.0,True,-62,RSSI -62 | Battery 2.9V,2025-09-19T22:22:06.762392Z
F3:69:9A:C2:38:70,2.9,2900,GOOD,GOOD,70.0,True,-60,RSSI -60 | Battery 2.9V,2025-09-19T22:22:06.763329Z
F1:C9:FA:67:36:52,2.9,2900,GOOD,GOOD,70.0,True,-48,RSSI -48 | Battery 2.9V,2025-09-19T22:22:06.767328Z
C8:25:A1:A9:75:56,2.9,2900,GOOD,GOOD,70.0,True,-47,RSSI -47 | Battery 2.9V,2025-09-19T22:22:06.769382Z
CE:B2:5C:88:62:F8,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-19T22:22:06.772195Z
